"name","title","dataset_completion_date","georesource_report_type","resource_authority_permit"
"cr060700","EPM 14806, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2010","2010-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14806""]"
"cr060711","EPM 15208, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 17/11/2008 TO 16/11/2009","2010-01-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15208""]"
"cr060878","EPM 15006, ARDMORE EAST PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/1/2010","2010-01-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15006""]"
"cr062146","EPM 15906, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 8/1/2009 TO 7/1/2010","2010-04-01T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15906""]"
"cr062155","EPM 15931, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 8/1/2009 TO 7/1/2010","2010-04-06T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15931""]"
"cr063410","EPM 17306, ANNUAL REPORT FOR PERIOD 13/5/2009 TO 12/5/2010","2010-06-23T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 17306""]"
"cr064648","EPM 16200, WYNBERG 6, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 30/8/2009 TO 29/8/2010","2010-10-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 16200""]"
"cr064656","EPM 15325, ANNUAL REPORT FOR PERIOD ENDING 30/7/2010","2010-10-08T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15325""]"
"cr064780","EPM 16113, ANNUAL REPORT FOR PERIOD 24 AUGUST 2009 TO 23 AUGUST 2010","2010-10-22T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 16113""]"
"cr065743","EPM 15006, ARDMORE EAST PROJECT, ANNUAL REPORT FOR PERIOD ENDING 7/1/2011","2011-01-07T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15006""]"
"cr067317","EPM 14803, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 12/6/2011","2011-06-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14803""]"
"cr068187","EPM 16625, LEICHHARDT RIVER PROJECT, ANNUAL REPORT FOR PERIOD 6/7/2010 TO 5/7/2011","2011-07-05T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 16625""]"
"cr069207","EPM 14802, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 13/12/2011","2011-12-13T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14802""]"
"cr069495","EPM 14805, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2012","2012-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14805""]"
"cr069496","EPM 14806, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2012","2012-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14806""]"
"cr071433","EPM 14803, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 12/6/2012","2012-06-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14803""]"
"cr074598","EPM 14802, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 12/12/2012","2012-12-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14802""]"
"cr075084","EPM 14805, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2013","2013-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14805""]"
"cr075085","EPM 14806, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2013","2013-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14806""]"
"cr076695","EPM 18838, JULIA CREEK, ANNUAL REPORT FOR PERIOD ENDING 18/1/2012","2012-01-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 18838""]"
"cr086820","EPM 18838, JULIA CREEK, ANNUAL REPORT FOR PERIOD ENDING 18/1/2013","2013-01-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 18838""]"
"cr086821","EPM 18838, JULIA CREEK, ANNUAL REPORT FOR PERIOD ENDING 18/1/2014","2014-01-18T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 18838""]"
